+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[20]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[22]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[23]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[28]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[29]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[18]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[24]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[25]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[27]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[17]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[19]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[11]/D|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[12]/D|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[14]/D|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[4]/D|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/des_mac_t_reg[7]/D|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/des_mac_t_reg[3]/D|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[30]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[26]/CE|
|                  eth_rxc |                  eth_rxc |                                                                     u_icmp/u_icmp_rx/icmp_rx_cnt_reg[9]/D|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[6]/D|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/rec_byte_num_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[21]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[16]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/rec_byte_num_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/rec_byte_num_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/rec_byte_num_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/rec_byte_num_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/rec_byte_num_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/rec_byte_num_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[8]/D|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[4]/CE|
